# scripts/lib/r_lint_rules.tsv
# R-script lint rules (HC-13 compliant: describe, never patch).
# Consumed by scripts/lib/r_lint.R via per-line regex matching on raw text.
# Columns: id<TAB>severity<TAB>kind<TAB>pattern<TAB>title<TAB>why<TAB>fix<TAB>doc_anchor
# kind ∈ {regex}; pattern is interpreted as a perl-compatible regex matched per line.
# Severity: HIGH (must fix before re-run), MED (will bite under load), LOW (style/portability).
# doc_anchor refers to sections in docs/user_guides/PARALLEL_R_DOS_AND_DONTS.md
#
# IMPORTANT: any TAB in 'why'/'fix' would break parsing. Use spaces only inside fields.
# IMPORTANT: patterns are evaluated PER LINE — multi-line constructs are not supported;
#            simpler patterns + the harness's verdict layer compensate for this.
id	severity	kind	pattern	title	why	fix	doc_anchor
R001	HIGH	regex	makeCluster\s*\(	makeCluster without clusterExport for user-defined functions	PSOCK workers start with empty globalenv. Functions defined at script level are NOT visible inside parLapply FUN unless explicitly exported.	clusterExport(cl, varlist = c("my_func", "other_helpers"), envir = environment())	#r001-makecluster-clusterexport
R002	MED	regex	mclapply\s*\(.*\b(terra|sf|gdal)\b	mclapply forks over terra/sf objects	terra/sf hold C++/GDAL handles that fork() duplicates by reference; the first child to free a handle corrupts the others. Symptom: random SIGSEGV or NFS deadlock under load.	use parallel::parLapply on a PSOCK cluster (via .biome_make_cluster()) and clusterExport raster paths instead of objects	#r002-mclapply-terra
R003	MED	regex	chunk_size\s*=\s*([1-9]|10)\b	suspiciously small chunk_size	Chunk size <= 10 means the parallel scheduler overhead dominates real work; you also accumulate 10000+ partial-result files on /Rtmp.	chunk_size between 50 and 500 is typical; profile with proc.time() per chunk	#r003-chunk-size
R004	LOW	regex	cat\s*\([^)]*progress	progress prints without throttling	Per-iteration cat() to stderr can flood the log (Lussu: 4103 chunks * 4 prints = 16k lines/sec) and stall NFS log writes.	throttle: if (i %% 100 == 0) message(...)	#r004-progress
R005	HIGH	regex	setwd\s*\(\s*['\"]/	setwd to a hardcoded absolute path	Cross-machine portability bomb: path may not exist on a different node. The "old server" had it, this one does not.	use here::here() or pass workdir via commandArgs(trailingOnly=TRUE)	#r005-setwd
R006	MED	regex	terra::values\s*\(	terra::values() — full raster materialization	values() loads the whole raster into RAM; calling it per-iteration in a loop is the #1 cause of mclapply OOM under cgroup MemoryMax. Verify the call is not inside a for/while/lapply hot loop.	use terra::extract() with a points/cells argument, or terra::app() for windowed reductions	#r006-terra-values
R007	HIGH	regex	install\.packages\s*\(	install.packages() at script top level	Network call mid-batch leaks credentials, slows startup, breaks reproducibility, and on biome-calc nodes silently fails because /usr/lib/R is read-only for non-root.	ask sysadmin to add the package to config/r_env_manager.conf :: R_USER_PACKAGES_CRAN, then re-run	#r007-install-packages
R008	LOW	regex	^\s*library\s*\(	library() called after non-trivial code	library() should be at the top of the file so missing-package failures happen instantly, not after 30 minutes of compute.	move all library() calls to the top, group with suppressPackageStartupMessages({ ... })	#r008-library-position
R009	LOW	regex	rm\s*\(\s*list\s*=\s*ls\s*\(	rm(list = ls()) wipes the global env	Hides bugs (every run starts from a "clean" state different from interactive). Worse, it deletes objects another sourced script just defined.	prefer fresh R session; or list specific objects: rm(big_raster, working_df)	#r009-rm-ls
R010	MED	regex	detectCores\s*\(\s*\)	detectCores() returns physical core count, ignores cgroup	On biome-calc nodes you get a slice of cores via cgroup. Bare detectCores() returns the host total (e.g. 24) but you only have 4 → 6x oversubscription, thrashing.	parallel::detectCores(logical=FALSE) is cgroup-aware in this kernel (fragment 05_thread_guard); cap defensively with max(1L, parallel::detectCores(logical=FALSE) - 1L)	#r010-detectcores
R011	HIGH	regex	['\"]/(nfs|home)/[^/'\"]+/	cross-user absolute path	You are reading or writing under another user's home directory. Permission failure or, worse, silent data corruption.	move shared inputs to /media/r_projects/<project>/ (sysadmin can grant ACL) or copy to your own ~/	#r011-cross-user
